85003, Phoenix
85004, Phoenix
85006, Phoenix
85007, Phoenix
85008, Phoenix
85009, Phoenix
85012, Phoenix
85013, Phoenix
85014, Phoenix
85015, Phoenix
85016, Phoenix
85017, Phoenix
85018, Phoenix
85019, Phoenix
85020, Phoenix
85021, Phoenix
85022, Phoenix
85023, Phoenix
85024, Phoenix
85027, Phoenix
85028, Phoenix
85029, Phoenix
85031, Phoenix
85032, Phoenix
85033, Phoenix
85034, Phoenix
85035, Phoenix
85037, Phoenix
85040, Phoenix
85041, Phoenix
85042, Phoenix
85043, Phoenix
85044, Phoenix
85045, Phoenix
85048, Phoenix
85050, Phoenix
85051, Phoenix
85053, Phoenix
85054, Phoenix
85083, Phoenix
85085, Phoenix
85086, Anthem
85087, New River
85118, Gold Canyon
85119, Apache Junction
85120, Apache Junction
85121, Casa Blanca
85122, Casa Grande
85123, Arizona City
85128, Coolidge
85131, Eloy
85132, Florence
85137, Kearny
85138, Maricopa
85139, Maricopa
85140, San Tan Valley
85141, Picacho
85142, Queen Creek
85143, San Tan Valley
85145, Red Rock
85147, Sacaton
85172, Stanfield
85173, Superior
85193, Casa Grande
85194, Casa Grande
85201, Mesa
85202, Mesa
85203, Mesa
85204, Mesa
85205, Mesa
85206, Mesa
85207, Mesa
85208, Mesa
85209, Mesa
85210, Mesa
85212, Mesa
85213, Mesa
85215, Mesa
85224, Chandler
85225, Chandler
85226, Chandler
85233, Gilbert
85234, Gilbert
85248, Chandler
85249, Chandler
85250, Scottsdale
85251, Scottsdale
85253, Paradise Valley
85254, Phoenix
85255, Scottsdale
85256, Scottsdale
85257, Scottsdale
85258, Scottsdale
85259, Scottsdale
85260, Scottsdale
85262, Scottsdale
85263, Rio Verde
85264, Fort McDowell
85266, Scottsdale
85268, Fountain Hills
85281, Tempe
85282, Tempe
85283, Tempe
85284, Tempe
85286, Chandler
85295, Gilbert
85296, Gilbert
85297, Gilbert
85298, Gilbert
85301, Glendale
85302, Glendale
85303, Glendale
85304, Glendale
85305, Glendale
85306, Glendale
85307, Glendale
85308, Glendale
85309, Glendale
85310, Phoenix
85320, Aguila
85322, Arlington
85323, Avondale
85326, Buckeye
85331, Phoenix
85335, El Mirage
85337, Gila Bend
85338, Goodyear
85339, Phoenix
85340, Litchfield Park
85342, Morristown
85343, Palo Verde
85345, Peoria
85351, Sun City
85353, Phoenix
85354, Tonopah
85355, Waddell
85361, Wittmann
85363, Youngtown
85373, Sun City
85374, Surprise
85375, Sun City West
85377, Carefree
85379, Surprise
85381, Peoria
85382, Peoria
85383, Peoria
85387, Surprise
85388, Surprise
85390, Wickenburg
85392, Avondale
85395, Goodyear
85396, Buckeye
85618, Mammoth
85623, Oracle
85631, San Manuel
